0,1,2,3,4,5,6,7,8,9
05.03.21 13:40:59,2493.85,2493.85,2493.85,2493.85,25,0,2493.85,2507.85,2767.20
08.03.21 10:39:59,2203.15,2203.15,2203.15,2203.15,25,25,2203.15,2054.40,2464.50
08.03.21 10:47:59,2440.85,2440.85,2440.85,2440.85,25,0,2322.00,2054.40,2646.90
08.03.21 12:42:59,2382.35,2382.35,2382.35,2382.35,25,75,2342.11,2054.40,2655.75
08.03.21 13:40:59,2469.50,2469.50,2469.50,2469.50,25,100,2373.96,888.00,2734.35
08.03.21 14:25:59,2282.15,2282.15,2282.15,2282.15,25,125,2355.60,2009.60,2416.40
08.03.21 15:16:59,2380.70,2380.70,2380.70,2380.70,25,0,2359.78,2106.50,2504.85
09.03.21 09:58:59,2124.20,2124.20,2124.20,2124.20,25,0,2124.20,1879.25,2266.10
09.03.21 10:33:59,2062.40,2062.40,2062.40,2062.40,25,50,2093.30,1815.10,2162.20
09.03.21 11:36:59,2000.65,2000.65,2000.65,2000.65,25,0,2062.41,1788.50,2078.00
12.03.21 14:26:59,2282.60,2282.60,2282.60,2282.60,25,25,2282.60,2163.30,2381.10
12.03.21 14:34:59,2208.75,2208.75,2208.75,2208.75,25,0,2245.67,2092.60,2260.95
12.03.21 14:40:59,2227.05,2227.05,2227.05,2227.05,25,0,2239.46,2119.70,2299.05
12.03.21 15:01:59,2206.95,2206.95,2206.95,2206.95,25,0,2231.33,2041.40,2197.85
12.03.21 15:13:59,2113.60,2113.60,2113.60,2113.60,25,0,2207.79,2053.30,2165.65
15.03.21 15:21:59,2113.90,2113.90,2113.90,2113.90,25,0,2113.90,2053.10,2173.45
22.03.21 12:49:59,3313.35,3313.35,3313.35,3313.35,25,0,3313.35,3016.55,3480.65
26.03.21 10:15:59,3454.60,3454.60,3454.60,3454.60,25,75,3454.60,3156.75,3752.45
23.04.21 09:15:59,5259.05,5259.05,5259.05,5259.05,25,75,5259.05,5055.70,5567.85
28.04.21 09:29:59,3783.75,3783.75,3783.75,3783.75,25,50,3783.75,3617.30,4079.95
