0,1,2,3,4,5,6,7,8,9
14.05.21 10:54:59,802.20,802.20,802.20,802.20,25,0,802.20,808.65,877.30
14.05.21 10:57:59,882.05,882.05,882.05,882.05,25,25,842.12,816.55,886.60
14.05.21 11:05:59,853.55,853.55,853.55,853.55,25,0,845.93,792.40,859.90
14.05.21 15:12:59,730.00,730.00,730.00,730.00,25,0,816.95,690.45,743.60
17.05.21 10:00:59,931.60,931.60,931.60,931.60,25,25,931.60,888.85,936.75
17.05.21 10:04:59,947.90,947.90,947.90,947.90,25,50,939.75,953.45,1019.05
17.05.21 11:17:59,1080.00,1080.00,1080.00,1080.00,25,0,986.50,1065.85,1126.65
17.05.21 12:25:59,1178.20,1178.20,1178.20,1178.20,25,25,1034.42,1156.90,1206.10
17.05.21 12:49:59,1208.00,1208.00,1208.00,1208.00,25,0,1069.14,1205.90,1271.10
17.05.21 13:03:59,1223.10,1223.10,1223.10,1223.10,50,25,1113.12,1216.15,1281.50
17.05.21 13:11:59,1221.25,1221.25,1221.25,1221.25,50,50,1137.15,1213.55,1256.10
17.05.21 13:13:59,1203.45,1203.45,1203.45,1203.45,50,100,1149.20,1137.90,1237.35
17.05.21 13:25:59,1146.50,1146.50,1146.50,1146.50,25,150,1148.98,1128.90,1154.35
17.05.21 13:27:59,1151.20,1151.20,1151.20,1151.20,50,100,1148.50,1132.35,1188.25
17.05.21 13:28:59,1142.50,1142.50,1142.50,1142.50,25,100,1148.10,1114.75,1162.45
17.05.21 14:39:59,1260.00,1260.00,1260.00,1260.00,25,0,1155.09,1263.60,1328.65
17.05.21 14:59:59,1430.00,1430.00,1430.00,1430.00,25,0,1171.26,1384.95,1451.55
21.05.21 09:34:59,1586.05,1586.05,1586.05,1586.05,25,50,1586.05,1491.90,1648.25
21.05.21 10:11:59,1622.00,1622.00,1622.00,1622.00,25,75,1604.02,1624.75,1703.70
21.05.21 10:35:59,1840.80,1840.80,1840.80,1840.80,25,50,1682.95,1712.35,1789.35
21.05.21 11:10:59,1791.10,1791.10,1791.10,1791.10,25,75,1709.98,1734.00,1806.35
21.05.21 11:22:59,1820.80,1820.80,1820.80,1820.80,25,50,1732.15,1779.10,1837.00
21.05.21 12:11:59,1769.60,1769.60,1769.60,1769.60,25,75,1738.39,1762.80,1872.50
21.05.21 14:39:59,2135.75,2135.75,2135.75,2135.75,25,0,1795.15,2140.80,2175.85
24.05.21 09:18:59,2479.15,2479.15,2479.15,2479.15,25,75,2479.15,2372.60,2595.80
24.05.21 10:18:59,2389.65,2389.65,2389.65,2389.65,25,100,2434.40,2340.55,2408.30
24.05.21 10:52:59,2447.25,2447.25,2447.25,2447.25,25,125,2438.68,2390.15,2501.80
24.05.21 11:33:59,2401.85,2401.85,2401.85,2401.85,150,150,2414.12,2292.95,2480.80
24.05.21 11:52:59,2410.15,2410.15,2410.15,2410.15,25,275,2413.73,2369.90,2444.80
24.05.21 12:11:59,2422.40,2422.40,2422.40,2422.40,25,300,2414.51,2308.90,2464.60
24.05.21 12:15:59,2429.70,2429.70,2429.70,2429.70,50,325,2416.85,2359.55,2446.75
24.05.21 12:34:59,2390.50,2390.50,2390.50,2390.50,25,0,2414.97,2328.25,2505.80
24.05.21 12:43:59,2279.85,2279.85,2279.85,2279.85,75,400,2391.16,2220.00,2402.80
24.05.21 13:40:59,2378.85,2378.85,2378.85,2378.85,100,0,2388.81,2281.15,2497.85
25.05.21 13:00:59,2236.15,2236.15,2236.15,2236.15,25,575,2236.15,2178.10,2353.55
25.05.21 13:28:59,2158.10,2158.10,2158.10,2158.10,25,0,2197.12,2138.85,2216.90
25.05.21 13:29:59,2194.75,2194.75,2194.75,2194.75,25,600,2196.33,2152.75,2353.85
25.05.21 15:08:59,2172.80,2172.80,2172.80,2172.80,25,600,2190.45,2092.85,2194.45
26.05.21 10:41:59,2302.10,2302.10,2302.10,2302.10,25,0,2302.10,2247.70,2405.35
27.05.21 11:25:59,2173.55,2199.15,2173.55,2199.15,125,625,2181.37,2063.60,2210.40
27.05.21 11:27:59,2231.10,2231.10,2231.10,2231.10,50,575,2193.57,2129.70,2330.60
27.05.21 12:03:59,2364.90,2369.95,2364.90,2364.90,75,575,2245.97,2242.65,2373.35
27.05.21 13:30:59,2492.90,2492.90,2492.90,2492.90,50,0,2287.12,2350.55,2568.00
28.05.21 13:02:59,2633.70,2633.70,2633.70,2633.70,25,600,2633.70,2576.70,2763.75
28.05.21 15:25:59,2792.80,2792.80,2792.80,2792.80,25,625,2713.25,2610.15,2774.50
31.05.21 09:57:59,2672.15,2672.15,2672.15,2672.15,25,625,2672.15,2510.35,2780.95
02.06.21 10:39:59,2612.15,2612.15,2612.10,2612.10,50,600,2612.12,2402.35,2679.00
02.06.21 12:35:59,2623.95,2623.95,2623.95,2623.95,25,600,2616.06,2487.30,2751.70
03.06.21 15:18:59,3017.85,3017.85,3017.50,3017.50,50,575,3017.67,3005.05,3400.10
