0,1,2,3,4,5,6,7,8,9
04.03.21 13:09:59,180.85,180.85,180.85,180.85,40,0,180.85,38.05,0.00
04.03.21 13:21:59,178.35,178.35,178.35,178.35,40,0,179.60,38.05,0.00
04.03.21 13:45:59,162.10,162.10,162.10,162.10,40,0,173.76,51.05,0.00
04.03.21 14:25:59,161.50,161.50,161.50,161.50,40,40,170.70,158.30,167.35
04.03.21 14:34:59,162.90,162.90,162.90,162.90,40,0,169.14,154.40,164.70
04.03.21 15:12:59,134.00,134.00,134.00,134.00,40,80,163.28,130.70,139.00
04.03.21 15:14:59,138.10,141.30,138.10,141.30,120,80,155.22,134.80,143.00
04.03.21 15:15:59,140.20,140.45,140.20,140.45,640,80,145.42,132.05,140.40
04.03.21 15:28:59,148.45,148.45,148.45,148.45,240,840,145.92,142.35,151.55
05.03.21 09:16:59,139.90,139.90,139.90,139.90,40,1080,139.90,30.00,137.90
05.03.21 09:17:59,138.00,138.00,137.90,138.00,240,1120,138.20,80.00,137.00
05.03.21 09:19:59,90.00,90.00,90.00,90.00,40,1120,132.17,80.00,135.00
05.03.21 09:20:59,80.00,80.00,80.00,80.00,200,1320,112.10,70.10,109.90
05.03.21 09:25:59,97.00,100.15,97.00,98.90,360,1320,107.03,97.60,98.90
05.03.21 09:26:59,99.30,99.30,99.30,99.30,40,1600,106.69,99.35,101.10
05.03.21 09:27:59,101.50,102.00,101.50,102.00,160,1600,105.98,102.80,104.60
05.03.21 09:30:59,98.40,98.40,95.45,97.30,440,1680,103.18,97.40,98.65
05.03.21 09:31:59,98.70,98.70,98.70,98.70,80,1680,102.96,96.30,97.60
05.03.21 09:34:59,98.65,98.65,94.55,94.55,160,1920,102.39,92.30,96.70
05.03.21 09:35:59,92.65,93.10,91.80,92.95,320,1920,100.80,93.75,94.70
05.03.21 09:36:59,94.20,97.75,94.20,97.75,320,1920,100.32,98.35,99.20
05.03.21 09:37:59,97.85,98.70,97.85,98.70,640,1920,99.97,99.70,100.35
05.03.21 09:38:59,100.10,103.35,100.10,103.35,1000,2760,100.44,102.35,103.75
05.03.21 09:39:59,103.35,103.35,103.35,103.35,40,2760,100.47,105.35,106.60
05.03.21 09:40:59,106.20,106.20,106.20,106.20,40,2760,100.52,106.35,107.70
05.03.21 09:41:59,108.15,108.50,108.15,108.50,320,3560,101.28,106.70,108.40
05.03.21 09:42:59,109.60,109.60,109.60,109.60,40,3560,101.35,109.45,110.05
05.03.21 09:43:59,110.40,110.40,110.40,110.40,40,3560,101.43,110.35,111.65
05.03.21 09:44:59,111.65,115.40,111.65,113.30,280,3600,102.12,111.70,113.10
05.03.21 09:45:59,117.50,117.50,117.50,117.50,40,3600,102.25,111.90,113.65
05.03.21 09:46:59,112.45,112.45,111.65,111.65,80,3600,102.41,114.00,115.45
05.03.21 09:47:59,118.10,121.00,118.10,121.00,240,3400,103.16,118.95,120.75
05.03.21 09:49:59,119.45,121.50,118.45,118.45,1080,3400,106.31,121.10,122.40
05.03.21 09:50:59,124.40,125.10,124.40,125.10,600,2760,107.94,124.95,125.20
05.03.21 09:51:59,124.15,124.15,124.15,124.15,160,2760,108.31,120.10,121.80
05.03.21 09:52:59,118.70,118.70,118.70,118.70,40,2760,108.37,116.60,117.85
05.03.21 09:53:59,118.05,118.05,118.05,118.05,80,2760,108.47,118.25,120.15
05.03.21 09:54:59,121.05,121.35,121.05,121.35,80,2800,108.62,124.25,126.10
05.03.21 09:56:59,121.25,121.25,121.25,121.25,40,2800,108.69,123.10,124.55
05.03.21 09:57:59,123.00,123.00,123.00,123.00,120,2800,108.92,117.75,118.90
