0,1,2,3,4,5,6,7,8,9
08.04.21 13:47:59,46.90,46.90,46.90,46.90,40,0,46.90,4.05,46.90
08.04.21 14:06:59,44.00,44.00,44.00,44.00,40,40,45.45,5.05,44.00
08.04.21 14:50:59,42.00,42.00,42.00,42.00,40,80,44.30,20.00,44.00
08.04.21 14:51:59,49.90,49.90,49.90,49.90,80,80,45.36,20.00,49.00
08.04.21 14:54:59,45.00,45.00,45.00,45.00,40,200,45.30,20.55,44.95
08.04.21 14:55:59,44.95,44.95,44.95,44.95,40,240,45.25,39.00,44.95
08.04.21 15:12:59,42.00,42.00,41.00,42.00,120,280,44.07,23.05,42.00
08.04.21 15:13:59,42.00,42.00,23.05,23.05,160,400,39.55,24.10,44.00
08.04.21 15:14:59,24.10,24.10,24.10,24.10,40,400,38.52,25.30,43.95
08.04.21 15:17:59,40.00,40.00,40.00,40.00,40,360,38.61,26.20,39.00
08.04.21 15:19:59,32.00,32.00,32.00,32.00,40,400,38.22,26.50,35.00
08.04.21 15:21:59,35.00,35.00,35.00,35.00,40,400,38.05,27.00,38.00
08.04.21 15:22:59,27.05,27.15,27.05,27.15,80,480,36.95,27.25,38.00
08.04.21 15:27:59,35.00,41.00,35.00,41.00,360,480,37.76,41.00,43.95
08.04.21 15:28:59,41.00,41.00,41.00,41.00,40,840,37.87,28.00,41.00
08.04.21 15:30:00,41.00,41.00,41.00,41.00,120,840,38.15,41.00,42.00
09.04.21 09:15:59,45.00,45.00,45.00,45.00,40,1000,45.00,45.00,64.00
09.04.21 09:16:59,64.00,64.00,47.60,62.95,280,1000,57.44,52.05,62.95
09.04.21 09:17:59,52.05,62.00,52.05,62.00,120,1200,57.78,55.55,60.00
09.04.21 09:18:59,60.00,70.00,60.00,70.00,360,1200,60.07,61.00,68.00
09.04.21 09:19:59,68.00,69.00,62.00,66.95,400,1200,62.48,62.00,65.95
09.04.21 09:20:59,68.95,69.00,67.95,67.95,960,1880,65.03,66.05,69.95
09.04.21 09:21:59,69.95,90.00,69.95,70.05,720,1880,67.68,71.05,74.95
09.04.21 09:22:59,74.95,76.45,70.10,76.45,240,1880,68.18,70.10,75.90
09.04.21 09:23:59,75.90,75.90,71.05,71.05,120,2600,68.40,70.10,73.95
09.04.21 09:24:59,71.05,71.05,71.05,71.05,80,2600,68.46,71.05,72.45
09.04.21 09:25:59,71.05,71.05,70.00,70.00,440,2600,68.66,68.00,70.00
09.04.21 09:26:59,68.00,69.00,68.00,69.00,80,3040,68.66,65.05,70.00
09.04.21 09:27:59,69.00,69.00,64.05,64.05,120,3040,68.57,65.05,66.85
09.04.21 09:28:59,63.15,63.55,63.15,63.55,80,3040,68.47,63.15,66.00
09.04.21 09:29:59,63.90,63.90,63.90,63.90,120,3080,68.33,63.95,65.00
09.04.21 09:30:59,65.95,71.00,65.95,71.00,280,3080,68.35,63.55,70.90
09.04.21 09:31:59,69.90,69.90,63.55,64.00,240,3080,68.26,64.05,67.95
09.04.21 09:32:59,67.00,67.00,67.00,67.00,80,3080,68.24,64.05,66.95
09.04.21 09:34:59,65.00,66.95,65.00,66.95,200,3320,68.14,64.05,65.80
09.04.21 09:36:59,63.25,63.25,63.05,63.05,120,3520,68.02,63.15,63.25
09.04.21 09:37:59,63.15,63.20,63.15,63.15,320,3520,67.73,62.50,65.50
09.04.21 09:38:59,61.10,61.10,61.00,61.00,80,3480,67.64,62.00,63.95
09.04.21 09:39:59,63.65,65.50,55.90,59.95,1080,3480,66.50,56.00,59.95
09.04.21 09:40:59,56.00,56.00,45.00,45.00,840,3480,64.67,40.35,49.95
09.04.21 09:41:59,41.05,41.10,41.00,41.10,400,4160,63.46,41.15,41.95
09.04.21 09:42:59,41.25,41.85,41.25,41.85,80,4160,63.24,42.05,42.85
09.04.21 09:43:59,42.00,42.05,35.00,38.70,1160,4160,60.25,33.05,39.85
09.04.21 09:44:59,35.90,35.90,34.95,35.90,160,4120,59.81,33.15,35.85
09.04.21 09:45:59,34.95,34.95,33.25,33.25,320,4120,58.95,33.25,34.95
09.04.21 09:46:59,33.25,36.70,33.25,36.70,200,4120,58.44,33.40,36.10
09.04.21 09:47:59,35.20,35.95,31.05,31.05,1320,4480,55.46,31.05,32.35
09.04.21 09:48:59,32.35,32.35,29.90,29.95,760,4480,53.87,28.00,29.95
09.04.21 09:49:59,29.95,29.95,28.05,28.05,400,4480,53.04,29.05,29.90
09.04.21 09:50:59,29.90,29.90,28.20,29.45,520,5360,52.05,28.25,29.45
09.04.21 09:52:59,28.55,28.90,28.55,28.90,240,5360,51.61,27.15,28.95
09.04.21 09:53:59,28.05,28.05,28.05,28.05,80,5360,51.47,28.05,28.95
09.04.21 09:54:59,28.05,28.95,26.05,26.05,320,5120,50.89,26.05,28.95
09.04.21 09:55:59,26.55,26.55,26.55,26.55,280,5120,50.39,26.50,26.55
09.04.21 09:56:59,26.55,28.05,26.55,27.95,560,5600,49.46,27.05,28.10
09.04.21 09:57:59,28.10,29.85,28.10,29.40,400,5600,48.90,28.15,30.00
09.04.21 09:58:59,28.15,28.15,28.15,28.15,40,5600,48.84,28.00,29.95
09.04.21 09:59:59,30.00,32.50,30.00,32.45,360,5680,48.43,30.60,31.95
09.04.21 10:00:59,31.05,31.05,31.05,31.05,80,5680,48.34,30.65,31.35
09.04.21 10:01:59,28.85,29.40,28.85,28.95,280,5680,47.99,28.05,29.95
09.04.21 10:02:59,30.00,31.35,30.00,30.45,360,5400,47.59,28.65,31.35
09.04.21 10:03:59,28.25,28.25,28.25,28.25,40,5400,47.54,26.05,28.30
09.04.21 10:04:59,28.50,28.50,26.00,26.00,160,5400,47.33,25.15,27.95
09.04.21 10:06:59,27.95,28.00,27.95,28.00,80,5200,47.24,26.70,28.00
09.04.21 10:07:59,28.00,28.00,27.95,28.00,200,5200,47.00,27.95,28.60
09.04.21 10:08:59,27.95,28.00,27.95,28.00,80,5400,46.91,25.15,28.00
09.04.21 10:09:59,28.00,28.00,28.00,28.00,80,5400,46.81,27.05,27.70
09.04.21 10:10:59,25.70,27.00,25.25,25.25,200,5400,46.56,25.25,26.60
09.04.21 10:11:59,25.20,26.00,25.05,26.00,200,5640,46.31,25.25,26.60
09.04.21 10:12:59,25.25,26.80,25.25,26.00,280,5640,45.98,26.05,26.85
09.04.21 10:13:59,26.05,26.05,25.20,25.20,240,5640,45.69,25.25,26.00
09.04.21 10:14:59,26.00,26.00,25.15,25.15,1520,5560,44.06,25.05,25.65
09.04.21 10:15:59,25.00,25.10,24.85,25.10,320,5560,43.75,25.10,26.65
09.04.21 10:16:59,25.95,26.25,25.80,26.25,400,5560,43.38,25.85,26.15
09.04.21 10:17:59,26.75,26.80,26.75,26.80,120,5120,43.28,26.60,26.70
09.04.21 10:18:59,26.70,27.05,26.70,26.75,400,5120,42.95,26.10,27.35
09.04.21 10:20:59,26.10,26.10,26.10,26.10,40,5280,42.92,26.15,26.75
09.04.21 10:21:59,26.75,26.95,26.75,26.95,80,5280,42.85,26.10,26.95
09.04.21 10:22:59,26.20,27.00,26.20,27.00,120,5280,42.76,26.70,26.95
09.04.21 10:23:59,26.70,26.70,26.00,26.00,320,5240,42.50,26.10,26.75
09.04.21 10:24:59,26.10,26.10,26.00,26.00,800,5240,41.88,26.00,26.05
09.04.21 10:25:59,25.95,25.95,25.80,25.80,80,5240,41.82,25.05,25.75
09.04.21 10:26:59,25.70,25.70,25.70,25.70,40,6000,41.79,25.95,26.70
09.04.21 10:27:59,26.85,26.90,26.20,26.60,400,6000,41.52,26.05,26.85
09.04.21 10:28:59,27.90,27.90,26.65,26.65,160,6000,41.41,26.45,26.90
09.04.21 10:30:59,26.95,27.70,26.95,27.70,240,6080,41.26,26.85,27.45
09.04.21 10:31:59,27.65,27.70,26.95,26.95,400,6080,41.02,26.95,27.40
09.04.21 10:32:59,27.00,27.00,26.90,26.90,160,6320,40.92,26.75,26.90
09.04.21 10:33:59,26.90,26.90,26.50,26.50,120,6320,40.85,26.25,26.50
09.04.21 10:34:59,26.00,26.00,26.00,26.00,40,6320,40.82,26.00,26.40
09.04.21 10:35:59,25.75,26.80,25.75,26.50,320,6360,40.62,26.15,26.55
09.04.21 10:36:59,26.45,26.45,26.45,26.45,40,6360,40.60,26.55,26.85
09.04.21 10:37:59,26.85,26.85,24.20,25.45,1600,6360,39.62,25.80,26.20
09.04.21 10:38:59,26.30,26.30,26.00,26.00,160,6360,39.53,25.10,26.60
09.04.21 10:39:59,26.60,26.80,26.60,26.80,240,5840,39.41,26.10,26.80
09.04.21 10:40:59,26.80,27.55,26.80,27.55,240,5840,39.29,27.00,27.80
09.04.21 10:41:59,27.20,27.45,27.15,27.45,400,5880,39.11,26.75,27.45
09.04.21 10:42:59,27.50,27.50,27.50,27.50,120,5880,39.06,26.25,27.75
09.04.21 10:43:59,27.65,27.70,26.85,27.70,240,5880,38.95,27.10,27.65
09.04.21 10:44:59,27.10,27.95,26.10,27.95,760,5720,38.62,28.00,28.50
09.04.21 10:45:59,28.35,29.75,28.35,28.95,200,5720,38.55,28.95,29.45
09.04.21 10:46:59,28.95,29.50,28.00,29.50,600,5720,38.34,28.50,29.80
09.04.21 10:47:59,28.70,28.70,28.45,28.65,120,5840,38.29,28.35,29.10
09.04.21 10:48:59,28.00,28.00,27.65,27.65,80,5840,38.26,27.20,27.70
09.04.21 10:49:59,27.70,28.30,27.70,28.30,80,5840,38.24,28.35,29.05
09.04.21 10:51:59,28.95,28.95,28.95,28.95,40,5840,38.22,29.00,29.65
09.04.21 10:52:59,29.65,29.65,29.65,29.65,40,5840,38.21,29.00,29.75
09.04.21 10:53:59,29.00,29.60,29.00,29.60,80,5840,38.18,29.00,29.60
09.04.21 10:54:59,29.60,29.60,29.60,29.60,120,5920,38.15,29.00,29.75
09.04.21 10:55:59,32.05,32.05,29.60,29.60,1120,5920,37.85,29.00,29.75
09.04.21 10:56:59,28.30,29.10,28.30,29.10,160,6160,37.81,28.35,29.15
09.04.21 11:00:59,28.35,29.00,28.35,29.00,120,6240,37.77,28.85,29.35
09.04.21 11:01:59,29.05,29.05,28.25,28.25,160,6240,37.72,28.20,28.80
09.04.21 11:02:59,27.30,29.85,27.30,29.85,240,6200,37.65,27.55,30.45
09.04.21 11:03:59,30.95,31.00,30.00,30.25,480,6200,37.54,29.30,30.25
