0,1,2,3,4,5,6
2018-05-02T09:15:00+0530,12.36,12.91,12.36,12.77,0,0
2018-05-02T09:16:00+0530,12.77,12.77,12.65,12.74,0,0
2018-05-02T09:17:00+0530,12.75,12.83,12.74,12.83,0,0
2018-05-02T09:18:00+0530,12.83,12.83,12.74,12.74,0,0
2018-05-02T09:19:00+0530,12.74,12.81,12.73,12.81,0,0
2018-05-02T09:20:00+0530,12.81,12.85,12.8,12.81,0,0
2018-05-02T09:21:00+0530,12.82,12.87,12.8,12.84,0,0
2018-05-02T09:22:00+0530,12.82,12.85,12.79,12.83,0,0
2018-05-02T09:23:00+0530,12.84,12.85,12.81,12.82,0,0
2018-05-02T09:24:00+0530,12.82,12.82,12.8,12.8,0,0
2018-05-02T09:25:00+0530,12.81,12.82,12.78,12.8,0,0
2018-05-02T09:26:00+0530,12.8,12.81,12.75,12.8,0,0
2018-05-02T09:27:00+0530,12.79,12.82,12.79,12.8,0,0
2018-05-02T09:28:00+0530,12.8,12.81,12.77,12.8,0,0
2018-05-02T09:29:00+0530,12.8,12.82,12.76,12.76,0,0
2018-05-02T09:30:00+0530,12.76,12.8,12.75,12.76,0,0
2018-05-02T09:31:00+0530,12.75,12.77,12.74,12.77,0,0
2018-05-02T09:32:00+0530,12.76,12.77,12.74,12.75,0,0
2018-05-02T09:33:00+0530,12.76,12.77,12.73,12.76,0,0
2018-05-02T09:34:00+0530,12.76,12.78,12.75,12.77,0,0
2018-05-02T09:35:00+0530,12.77,12.81,12.75,12.79,0,0
2018-05-02T09:36:00+0530,12.79,12.8,12.76,12.8,0,0
2018-05-02T09:37:00+0530,12.79,12.8,12.75,12.79,0,0
2018-05-02T09:38:00+0530,12.79,12.81,12.77,12.81,0,0
2018-05-02T09:39:00+0530,12.8,12.81,12.78,12.8,0,0
2018-05-02T09:40:00+0530,12.8,12.82,12.8,12.8,0,0
2018-05-02T09:41:00+0530,12.8,12.87,12.8,12.87,0,0
2018-05-02T09:42:00+0530,12.87,12.87,12.83,12.86,0,0
2018-05-02T09:43:00+0530,12.86,12.86,12.84,12.85,0,0
2018-05-02T09:44:00+0530,12.85,12.86,12.85,12.86,0,0
2018-05-02T09:45:00+0530,12.86,12.86,12.83,12.85,0,0
2018-05-02T09:46:00+0530,12.85,12.88,12.83,12.85,0,0
2018-05-02T09:47:00+0530,12.85,12.9,12.83,12.86,0,0
2018-05-02T09:48:00+0530,12.86,12.86,12.82,12.82,0,0
2018-05-02T09:49:00+0530,12.82,12.84,12.82,12.83,0,0
2018-05-02T09:50:00+0530,12.83,12.89,12.83,12.87,0,0
2018-05-02T09:51:00+0530,12.87,12.91,12.85,12.91,0,0
2018-05-02T09:52:00+0530,12.92,12.94,12.87,12.87,0,0
2018-05-02T09:53:00+0530,12.87,12.94,12.87,12.94,0,0
2018-05-02T09:54:00+0530,12.94,12.94,12.86,12.89,0,0
2018-05-02T09:55:00+0530,12.89,12.94,12.88,12.9,0,0
2018-05-02T09:56:00+0530,12.91,12.93,12.88,12.88,0,0
2018-05-02T09:57:00+0530,12.88,12.88,12.85,12.86,0,0
2018-05-02T09:58:00+0530,12.86,12.87,12.83,12.83,0,0
2018-05-02T09:59:00+0530,12.84,12.86,12.82,12.84,0,0
2018-05-02T10:00:00+0530,12.84,12.88,12.84,12.88,0,0
2018-05-02T10:01:00+0530,12.89,12.89,12.86,12.88,0,0
2018-05-02T10:02:00+0530,12.88,12.94,12.88,12.94,0,0
2018-05-02T10:03:00+0530,12.94,12.94,12.85,12.85,0,0
2018-05-02T10:04:00+0530,12.85,12.87,12.81,12.82,0,0
2018-05-02T10:05:00+0530,12.82,12.87,12.82,12.84,0,0
2018-05-02T10:06:00+0530,12.84,12.86,12.81,12.83,0,0
2018-05-02T10:07:00+0530,12.83,12.86,12.83,12.86,0,0
2018-05-02T10:08:00+0530,12.86,12.86,12.82,12.82,0,0
2018-05-02T10:09:00+0530,12.82,12.87,12.82,12.85,0,0
2018-05-02T10:10:00+0530,12.85,12.87,12.84,12.86,0,0
2018-05-02T10:11:00+0530,12.86,12.87,12.84,12.87,0,0
2018-05-02T10:12:00+0530,12.87,12.91,12.87,12.91,0,0
2018-05-02T10:13:00+0530,12.91,12.94,12.9,12.93,0,0
2018-05-02T10:14:00+0530,12.93,12.93,12.9,12.93,0,0
2018-05-02T10:15:00+0530,12.92,12.95,12.89,12.9,0,0
2018-05-02T10:16:00+0530,12.91,12.92,12.9,12.9,0,0
2018-05-02T10:17:00+0530,12.9,12.92,12.88,12.9,0,0
2018-05-02T10:18:00+0530,12.9,12.93,12.86,12.89,0,0
2018-05-02T10:19:00+0530,12.89,12.92,12.88,12.89,0,0
2018-05-02T10:20:00+0530,12.89,12.91,12.89,12.91,0,0
