0,1,2,3,4,5,6,7,8,9
16.04.21 14:51:59,16.50,16.50,16.50,16.50,75,0,16.50,10.00,60.00
16.04.21 14:54:59,30.80,30.80,30.80,30.80,75,75,23.65,10.00,60.00
16.04.21 15:02:59,25.00,25.00,25.00,25.00,75,0,24.10,12.10,39.90
19.04.21 09:17:59,45.00,45.00,45.00,45.00,75,75,45.00,15.00,0.00
22.04.21 14:38:59,27.00,27.00,27.00,27.00,75,75,27.00,25.20,71.95
22.04.21 14:40:59,34.90,34.90,34.90,34.90,75,75,30.95,25.35,34.90
22.04.21 14:43:59,30.10,30.10,30.10,30.10,75,150,30.66,26.30,33.00
23.04.21 09:18:59,30.10,30.10,30.10,30.10,75,150,30.10,10.10,34.90
23.04.21 09:19:59,11.00,11.00,11.00,11.00,225,150,20.27,11.00,29.90
23.04.21 09:24:59,23.00,23.00,23.00,23.00,150,375,21.18,21.05,23.95
23.04.21 09:25:59,24.00,24.00,24.00,24.00,75,375,21.58,22.05,25.95
23.04.21 09:30:59,24.75,25.15,24.75,25.05,525,450,23.30,18.55,27.90
23.04.21 09:35:59,25.00,25.00,25.00,25.00,75,0,23.42,22.25,26.10
23.04.21 09:37:59,26.10,28.60,26.10,28.60,375,975,24.46,22.25,28.60
23.04.21 09:41:59,23.55,23.55,23.55,23.55,150,900,24.37,20.55,25.05
23.04.21 09:44:59,23.15,23.15,23.15,23.15,150,900,24.27,22.25,24.25
23.04.21 09:45:59,22.45,22.45,22.45,22.45,150,1200,24.13,21.35,23.85
23.04.21 09:47:59,21.95,21.95,21.95,21.95,150,1200,23.97,21.50,23.55
23.04.21 09:49:59,21.60,21.60,21.60,21.60,150,1500,23.82,21.50,23.15
23.04.21 09:51:59,22.10,22.10,22.10,22.10,75,1650,23.76,22.60,23.15
23.04.21 09:56:59,25.05,25.05,25.05,25.05,225,0,23.76,21.85,23.75
23.04.21 10:03:59,20.50,20.55,20.50,20.55,150,1725,23.58,20.85,21.25
23.04.21 10:04:59,21.45,21.45,21.45,21.45,150,1725,23.47,21.00,21.30
23.04.21 10:05:59,20.95,20.95,20.95,20.95,75,1725,23.41,21.20,21.55
23.04.21 10:06:59,20.95,20.95,20.95,20.95,75,1725,23.34,20.85,21.20
23.04.21 10:18:59,19.45,19.45,19.40,19.40,300,1650,22.99,19.65,20.05
23.04.21 10:28:59,19.45,19.45,19.45,19.45,150,1350,22.84,19.55,19.95
23.04.21 10:29:59,19.15,19.15,19.15,19.15,150,1350,22.68,19.35,19.65
23.04.21 10:31:59,20.05,20.05,20.05,20.05,150,1200,22.58,19.40,19.75
23.04.21 10:39:59,20.60,20.60,19.65,19.65,450,1200,22.30,19.85,20.25
23.04.21 10:43:59,20.80,20.80,20.80,20.80,150,1050,22.25,20.20,20.45
23.04.21 10:45:59,20.80,20.80,20.80,20.80,150,1200,22.20,20.60,21.00
23.04.21 10:53:59,19.50,19.50,19.50,19.50,75,1350,22.16,20.10,21.60
23.04.21 11:48:59,20.10,20.10,20.10,20.10,150,1275,22.09,18.60,21.10
23.04.21 11:54:59,20.10,20.10,20.10,20.10,75,1125,22.06,18.90,21.10
23.04.21 12:16:59,21.00,21.00,21.00,21.00,150,1125,22.03,19.35,22.25
23.04.21 12:20:59,22.20,22.20,22.20,22.20,300,975,22.04,20.55,23.30
23.04.21 12:36:59,22.20,22.20,22.20,22.20,75,825,22.04,20.55,23.15
23.04.21 12:43:59,20.55,20.55,20.55,20.55,150,750,22.00,18.70,21.35
23.04.21 13:03:59,20.60,20.60,20.50,20.50,225,825,21.94,18.65,21.35
23.04.21 13:19:59,19.05,20.40,19.05,20.40,225,1050,21.87,18.45,21.20
23.04.21 13:21:59,21.20,21.20,21.20,21.20,75,1200,21.86,18.75,21.20
23.04.21 13:25:59,20.70,20.70,20.65,20.65,225,1200,21.82,19.20,22.25
23.04.21 13:27:59,19.50,19.50,19.50,19.50,150,1200,21.76,18.55,20.45
23.04.21 13:40:59,21.35,21.35,21.35,21.35,375,1575,21.74,20.05,22.60
23.04.21 13:45:59,23.20,23.20,23.20,23.20,75,1950,21.76,21.55,24.55
23.04.21 13:49:59,20.40,20.40,20.40,20.40,150,1950,21.73,19.65,21.65
23.04.21 13:58:59,21.85,21.85,21.85,21.85,75,1950,21.73,20.50,22.60
23.04.21 14:17:59,20.00,20.00,20.00,20.00,300,1950,21.66,19.05,22.10
23.04.21 14:20:59,21.80,21.80,21.80,21.80,75,1650,21.66,20.70,22.65
23.04.21 14:23:59,23.15,23.15,23.15,23.15,150,1575,21.69,22.60,24.00
23.04.21 14:28:59,23.70,23.70,23.40,23.40,225,1500,21.75,23.15,24.80
23.04.21 14:34:59,20.35,20.35,20.35,20.35,150,1350,21.73,21.55,23.25
23.04.21 14:35:59,23.25,23.25,23.25,23.25,150,1350,21.76,23.05,25.65
23.04.21 14:39:59,23.25,23.25,23.25,23.25,75,1125,21.77,22.30,23.35
23.04.21 14:57:59,23.35,23.35,22.30,22.30,225,1125,21.80,21.50,22.20
23.04.21 14:58:59,21.50,21.50,21.50,21.50,150,1125,21.79,21.30,22.55
23.04.21 15:00:59,21.90,21.90,21.90,21.90,150,1125,21.79,21.45,22.70
