0,1,2,3,4,5,6,7
20.03.19 12:05:59,299.00,299.00,299.00,299.00,24750,159075,
20.03.19 12:50:59,299.00,299.00,299.00,299.00,24750,114525,
20.03.19 12:51:59,299.00,299.00,299.00,299.00,0,114525,
20.03.19 12:55:59,299.00,299.00,299.00,299.00,0,114525,
20.03.19 13:08:59,299.00,299.00,299.00,299.00,24750,89775,
20.03.19 13:12:59,299.00,299.00,299.00,299.00,0,89775,
20.03.19 13:18:59,299.00,299.00,299.00,299.00,24750,65025,
20.03.19 13:23:59,299.00,299.00,299.00,299.00,15525,15525,
15.06.20 10:45:59,938.10,938.10,938.10,938.10,150,0,938.10
19.06.20 15:25:59,549.60,549.60,549.60,549.60,150,150,549.60
