0,1,2,3,4,5,6,7,8,9
18.08.21 09:18:59,1.75,1.75,1.75,1.75,50,0,1.75,0.15,1.70
18.08.21 09:20:59,0.25,0.30,0.25,0.30,200,50,0.59,0.25,1.70
18.08.21 09:22:59,0.50,0.50,0.50,0.50,1100,50,0.51,0.15,1.50
18.08.21 09:23:59,1.50,1.50,0.30,0.30,2100,2250,0.73,0.25,1.50
18.08.21 09:24:59,0.30,0.30,0.30,0.30,1050,2250,0.63,0.25,1.50
18.08.21 09:25:59,0.30,0.30,0.30,0.30,350,2250,0.62,0.25,1.50
18.08.21 09:27:59,0.95,0.95,0.15,0.15,1550,3700,0.54,0.20,0.55
18.08.21 09:34:59,0.25,0.25,0.15,0.15,100,3800,0.54,0.15,0.20
18.08.21 09:35:59,0.90,0.90,0.90,0.90,2800,3800,0.55,0.25,0.90
18.08.21 09:36:59,0.55,0.55,0.35,0.35,700,3800,0.55,0.20,0.50
18.08.21 09:37:59,0.45,0.45,0.15,0.35,1150,3800,0.51,0.25,0.40
18.08.21 09:38:59,0.30,0.30,0.30,0.30,100,5800,0.51,0.25,0.30
18.08.21 09:39:59,0.30,0.30,0.30,0.30,1050,5800,0.49,0.25,0.35
18.08.21 09:41:59,0.30,0.30,0.30,0.30,50,4900,0.49,0.25,0.30
18.08.21 09:42:59,0.30,0.35,0.30,0.35,3750,4900,0.45,0.30,0.35
18.08.21 09:43:59,0.35,0.35,0.35,0.35,750,4900,0.44,0.30,0.35
18.08.21 09:45:59,0.35,0.35,0.35,0.35,100,9350,0.44,0.30,0.35
18.08.21 09:46:59,0.35,0.35,0.35,0.35,250,9350,0.44,0.30,0.35
18.08.21 09:48:59,0.35,0.35,0.35,0.35,100,9450,0.44,0.30,0.35
18.08.21 09:49:59,0.30,0.30,0.30,0.30,1250,9450,0.43,0.20,0.30
18.08.21 09:50:59,0.35,0.35,0.35,0.35,1100,10600,0.43,0.20,0.35
18.08.21 09:55:59,0.20,0.20,0.20,0.20,50,11700,0.42,0.20,0.30
18.08.21 09:58:59,0.20,0.20,0.20,0.20,450,11700,0.42,0.25,0.30
18.08.21 10:02:59,0.25,0.25,0.25,0.25,650,11700,0.41,0.25,0.30
18.08.21 10:04:59,0.30,0.30,0.30,0.30,150,11700,0.41,0.25,0.30
18.08.21 10:10:59,0.30,0.30,0.25,0.25,3600,11150,0.39,0.25,0.35
18.08.21 10:22:59,0.35,0.40,0.35,0.40,4000,13050,0.39,0.25,0.35
18.08.21 10:35:59,0.35,0.35,0.35,0.35,1100,17050,0.39,0.25,0.35
18.08.21 10:41:59,0.25,0.25,0.25,0.25,1100,18150,0.38,0.25,0.35
18.08.21 10:43:59,0.35,0.35,0.35,0.35,50,18150,0.38,0.25,0.35
18.08.21 10:44:59,0.35,0.35,0.35,0.35,50,18150,0.38,0.25,0.35
18.08.21 10:50:59,0.35,0.35,0.35,0.35,1100,18250,0.38,0.25,0.35
18.08.21 10:53:59,0.35,0.35,0.35,0.35,50,19350,0.38,0.25,0.35
18.08.21 11:10:59,0.35,0.35,0.35,0.35,1100,19400,0.38,0.35,1.05
18.08.21 11:17:59,0.85,0.85,0.85,0.85,1100,20500,0.39,0.35,1.35
18.08.21 11:18:59,0.40,0.45,0.40,0.40,200,21450,0.39,0.30,0.75
18.08.21 11:19:59,0.40,0.45,0.25,0.25,8150,21450,0.40,0.35,0.40
18.08.21 11:20:59,0.40,0.40,0.40,0.40,50,21450,0.40,0.35,0.40
18.08.21 11:22:59,0.35,0.35,0.35,0.35,2400,27400,0.40,0.35,0.40
18.08.21 11:36:59,0.35,0.35,0.35,0.35,50,27400,0.40,0.35,0.40
18.08.21 11:37:59,0.35,0.35,0.25,0.25,1050,27400,0.39,0.25,0.30
18.08.21 11:38:59,0.30,0.40,0.30,0.35,450,27400,0.39,0.30,0.35
18.08.21 11:39:59,0.30,0.30,0.30,0.30,150,27500,0.39,0.25,0.30
18.08.21 11:40:59,0.30,0.30,0.30,0.30,100,27500,0.39,0.25,0.35
18.08.21 11:41:59,0.30,0.30,0.30,0.30,100,27500,0.39,0.25,0.35
18.08.21 11:53:59,0.30,0.30,0.30,0.30,50,27500,0.39,0.30,0.40
18.08.21 12:04:59,0.25,0.25,0.25,0.25,5600,27550,0.38,0.25,0.50
18.08.21 12:06:59,0.25,0.25,0.25,0.25,2800,27500,0.37,0.25,0.35
18.08.21 12:07:59,0.40,0.40,0.40,0.40,1100,27500,0.37,0.25,0.40
18.08.21 12:16:59,0.40,0.40,0.35,0.35,1900,28600,0.37,0.25,0.40
18.08.21 12:20:59,0.30,0.30,0.30,0.30,50,29500,0.37,0.25,0.35
18.08.21 12:23:59,0.25,0.25,0.25,0.25,1100,29500,0.37,0.25,0.35
18.08.21 12:27:59,0.35,0.35,0.35,0.35,100,29500,0.37,0.25,0.35
18.08.21 12:45:59,0.25,0.25,0.25,0.25,400,29600,0.37,0.20,0.25
18.08.21 12:46:59,0.25,0.25,0.25,0.25,3500,29600,0.36,0.20,0.30
18.08.21 12:47:59,0.20,0.20,0.20,0.20,10900,29600,0.33,0.20,0.25
18.08.21 12:52:59,0.25,0.25,0.25,0.25,100,33150,0.33,0.20,0.25
18.08.21 12:53:59,0.25,0.35,0.25,0.35,4750,33150,0.33,0.25,0.40
18.08.21 12:54:59,0.35,0.35,0.30,0.35,1850,29650,0.33,0.35,0.40
18.08.21 12:57:59,0.35,0.35,0.35,0.35,350,23550,0.33,0.30,0.35
18.08.21 12:58:59,0.30,0.30,0.30,0.30,1100,23550,0.33,0.30,0.35
18.08.21 12:59:59,0.30,0.30,0.30,0.30,200,23550,0.33,0.25,0.30
18.08.21 13:00:59,0.30,0.30,0.30,0.30,950,23550,0.33,0.30,0.35
18.08.21 13:02:59,0.30,0.30,0.30,0.30,1100,23550,0.33,0.30,0.35
18.08.21 13:04:59,0.30,0.30,0.25,0.25,2200,21550,0.33,0.25,0.35
18.08.21 13:05:59,0.25,0.35,0.25,0.25,1300,21550,0.33,0.25,0.35
18.08.21 13:06:59,0.35,0.35,0.35,0.35,1100,21400,0.33,0.25,0.35
18.08.21 13:07:59,0.25,0.25,0.25,0.25,50,21400,0.33,0.30,0.35
18.08.21 13:09:59,0.35,0.35,0.35,0.35,1100,22400,0.33,0.30,0.35
18.08.21 13:10:59,0.25,0.25,0.25,0.25,1100,22400,0.33,0.25,0.30
18.08.21 13:18:59,0.30,0.30,0.30,0.30,3400,21450,0.32,0.30,0.35
18.08.21 13:19:59,0.30,0.30,0.30,0.30,400,21450,0.32,0.25,0.30
18.08.21 13:22:59,0.30,0.30,0.30,0.30,1000,21450,0.32,0.25,0.30
18.08.21 13:24:59,0.30,0.35,0.30,0.35,3100,21450,0.32,0.25,0.35
18.08.21 13:31:59,0.25,0.25,0.25,0.25,1100,22600,0.32,0.25,0.35
18.08.21 13:35:59,0.25,0.25,0.25,0.25,1100,22600,0.32,0.25,0.35
18.08.21 13:48:59,0.25,0.25,0.25,0.25,2000,22600,0.32,0.25,0.30
18.08.21 13:55:59,0.30,0.30,0.30,0.30,1100,24550,0.32,0.25,0.30
18.08.21 13:56:59,0.25,0.25,0.25,0.25,450,24550,0.32,0.20,0.30
18.08.21 13:57:59,0.30,0.35,0.30,0.35,3000,24550,0.32,0.20,0.30
18.08.21 14:00:59,0.30,0.30,0.30,0.30,1350,26700,0.32,0.30,0.35
18.08.21 14:02:59,0.35,0.35,0.25,0.25,5350,27950,0.32,0.25,0.35
18.08.21 14:09:59,0.30,0.30,0.30,0.30,1100,33200,0.32,0.25,0.30
18.08.21 14:10:59,0.25,0.25,0.25,0.25,600,34300,0.32,0.25,0.30
18.08.21 14:13:59,0.40,0.40,0.25,0.25,1150,34300,0.32,0.25,0.35
18.08.21 14:16:59,0.30,0.30,0.25,0.25,2200,35200,0.32,0.25,0.30
18.08.21 14:18:59,0.30,0.30,0.25,0.25,600,35200,0.32,0.20,0.30
18.08.21 14:26:59,0.20,0.20,0.20,0.20,3050,36350,0.32,0.15,0.20
18.08.21 14:27:59,0.20,0.20,0.20,0.20,1100,36350,0.31,0.15,0.20
18.08.21 14:28:59,0.15,0.15,0.15,0.15,1100,40350,0.31,0.15,0.20
18.08.21 14:29:59,0.15,0.15,0.15,0.15,50,40350,0.31,0.15,0.20
18.08.21 14:32:59,0.15,0.15,0.15,0.15,5450,40350,0.31,0.10,0.15
18.08.21 14:33:59,0.15,0.15,0.15,0.15,2950,40350,0.30,0.15,0.20
18.08.21 14:37:59,0.15,0.15,0.15,0.15,100,45950,0.30,0.15,0.20
18.08.21 14:40:59,0.15,0.15,0.15,0.15,50,45950,0.30,0.15,0.20
18.08.21 14:41:59,0.15,0.15,0.15,0.15,2650,45950,0.30,0.10,0.20
18.08.21 14:52:59,0.10,0.10,0.10,0.10,1000,48600,0.30,0.10,0.15
18.08.21 14:53:59,0.10,0.10,0.10,0.10,50,48600,0.30,0.10,0.15
18.08.21 14:54:59,0.10,0.10,0.10,0.10,1000,48600,0.30,0.10,0.15
18.08.21 14:59:59,0.10,0.10,0.10,0.10,2200,48600,0.29,0.10,0.15
18.08.21 15:00:59,0.10,0.10,0.05,0.05,3700,48600,0.29,0.05,0.20
18.08.21 15:05:59,0.05,0.05,0.05,0.05,2800,48600,0.28,0.00,0.15
18.08.21 15:17:59,0.05,0.05,0.05,0.05,1900,48600,0.28,0.00,0.05
